,accuracy,precision,recall,f1_score
XGBoost,0.6846318532998231,0.6843908629441624,0.6751377065598397,0.679732795563398
Logistic_Regression,0.6664184430171585,0.6647121871256542,0.6599273910866299,0.662311147407105
MLP,0.6868968941015855,0.6836881203570759,0.685528292438658,0.6846069698390373
SVM,0.5361320549815384,0.5195951107715814,0.8514646970455684,0.6453648353733751
BERT,0.6945,0.6534412955465587,0.8151515151515152,0.7253932584269663
